iter	Passed	Remaining
0	147	14620
1	150	7374
2	152	4943
3	154	3714
4	155	2957
5	157	2463
6	159	2124
7	161	1859
8	162	1647
9	164	1480
10	166	1348
11	167	1230
12	169	1136
13	171	1050
14	172	978
15	174	914
16	175	856
17	176	803
18	177	757
19	178	714
20	179	676
21	180	639
22	181	606
23	182	577
24	183	550
25	184	524
26	185	501
27	187	481
28	188	460
29	189	442
30	191	425
31	192	410
32	194	394
33	195	378
34	196	365
35	197	351
36	199	339
37	200	327
38	202	316
39	204	306
40	206	297
41	208	287
42	209	277
43	210	267
44	211	258
45	213	250
46	214	242
47	216	234
48	217	226
49	218	218
50	219	211
51	221	204
52	222	197
53	223	190
54	224	183
55	225	177
56	227	171
57	228	165
58	230	160
59	232	154
60	234	149
61	236	144
62	237	139
63	238	133
64	240	129
65	241	124
66	242	119
67	243	114
68	245	110
69	247	105
70	247	101
71	249	96
72	250	92
73	251	88
74	252	84
75	253	80
76	254	76
77	255	72
78	256	68
79	258	64
80	259	60
81	261	57
82	262	53
83	264	50
84	264	46
85	265	43
86	267	39
87	268	36
88	269	33
89	271	30
90	272	26
91	273	23
92	274	20
93	276	17
94	277	14
95	278	11
96	281	8
97	282	5
98	284	2
99	286	0
